Département,Code Postal,Ville,Agence d'Intervention,Actif
1,01170,Ségny,Marseile,Oui
1,01470,Seillonnaz,Marseile,Oui
1,01630,Sergy,Marseile,Oui
1,01190,Sermoyer,Marseile,Oui
1,01470,Serrières-de-Briord,Marseile,Oui
1,01450,Serrières-sur-Ain,Marseile,Oui
1,01960,Servas,Marseile,Oui
1,01560,Servignat,Marseile,Oui
1,01420,Seyssel,Marseile,Oui
1,01250,Simandre-sur-Suran,Marseile,Oui
1,01580,Sonthonnax-la-Montagne,Marseile,Oui
1,01150,Souclin,Marseile,Oui
1,01400,Sulignat,Marseile,Oui
1,01510,Talissieu,Marseile,Oui
1,01230,Tenay,Marseile,Oui
1,01120,Thil,Marseile,Oui
1,01710,Thoiry,Marseile,Oui
1,01140,Thoissey,Marseile,Oui
1,01230,Torcieu,Marseile,Oui
1,01250,Tossiat,Marseile,Oui
1,01600,Toussieux,Marseile,Oui
1,01390,Tramoyes,Marseile,Oui
1,01160,La Tranclière,Marseile,Oui
1,01370,Val-Revermont,Marseile,Oui
1,01600,Trévoux,Marseile,Oui
1,01140,Valeins,Marseile,Oui
1,01660,Vandeins,Marseile,Oui
1,01160,Varambon,Marseile,Oui
1,01150,Vaux-en-Bugey,Marseile,Oui
1,01270,Verjon,Marseile,Oui
1,01560,Vernoux,Marseile,Oui
1,01330,Versailleux,Marseile,Oui
1,01210,Versonnex,Marseile,Oui
1,01170,Vesancy,Marseile,Oui
1,01560,Vescours,Marseile,Oui
1,01570,Vésines,Marseile,Oui
1,01430,Vieu-d'Izenave,Marseile,Oui
1,01330,Villars-les-Dombes,Marseile,Oui
1,01150,Villebois,Marseile,Oui
1,01270,Villemotier,Marseile,Oui
1,01480,Villeneuve,Marseile,Oui
1,01250,Villereversure,Marseile,Oui
1,01200,Villes,Marseile,Oui
1,01320,Villette-sur-Ain,Marseile,Oui
1,01800,Villieu-Loyes-Mollon,Marseile,Oui
1,01440,Viriat,Marseile,Oui
1,01510,Virieu-le-Grand,Marseile,Oui
1,01260,Arvière-en-Valromey,Marseile,Oui
1,01300,Virignin,Marseile,Oui
1,01350,Vongnes,Marseile,Oui
1,01540,Vonnas,Marseile,Oui
2,02300,Abbécourt,Marseile,Oui
2,02800,Achery,Marseile,Oui
2,02200,Acy,Marseile,Oui
2,02340,Agnicourt-et-Séchelles,Marseile,Oui
2,02190,Aguilcourt,Marseile,Oui
2,02110,Aisonville-et-Bernoville,Marseile,Oui
2,02820,Aizelles,Marseile,Oui
2,02370,Aizy-Jouy,Marseile,Oui
2,02240,Alaincourt,Marseile,Oui
2,02320,Allemant,Marseile,Oui
2,02290,Ambleny,Marseile,Oui
2,02200,Ambrief,Marseile,Oui
2,02190,Amifontaine,Marseile,Oui
2,02700,Amigny-Rouy,Marseile,Oui
2,02600,Ancienville,Marseile,Oui
2,02800,Andelain,Marseile,Oui
2,02800,Anguilcourt-le-Sart,Marseile,Oui
2,02320,Anizy-le-Grand,Marseile,Oui
2,02480,Annois,Marseile,Oui
2,02500,Any-Martin-Rieux,Marseile,Oui
2,02360,Archon,Marseile,Oui
2,02130,Arcy-Sainte-Restitue,Marseile,Oui
2,02210,Armentières-sur-Ourcq,Marseile,Oui
2,02860,Arrancy,Marseile,Oui
2,02480,Artemps,Marseile,Oui
2,02270,Assis-sur-Serre,Marseile,Oui
2,02840,Athies-sous-Laon,Marseile,Oui
2,02490,Attilly,Marseile,Oui
2,02420,Aubencheul-aux-Bois,Marseile,Oui
2,02500,Aubenton,Marseile,Oui
2,02590,Aubigny-aux-Kaisnes,Marseile,Oui
2,02820,Aubigny-en-Laonnois,Marseile,Oui
2,02300,Audignicourt,Marseile,Oui
2,02120,Audigny,Marseile,Oui
2,02220,Augy,Marseile,Oui
2,02000,Aulnois-sous-Laon,Marseile,Oui
2,02360,Les Autels,Marseile,Oui
2,02250,Autremencourt,Marseile,Oui
2,02580,Autreppes,Marseile,Oui
2,02300,Autreville,Marseile,Oui
2,02400,Azy-sur-Marne,Marseile,Oui
2,02290,Bagneux,Marseile,Oui
2,02140,Bancigny,Marseile,Oui
2,02000,Barenton-Bugny,Marseile,Oui
2,02000,Barenton-Cel,Marseile,Oui
2,02270,Barenton-sur-Serre,Marseile,Oui
2,02700,Barisis-aux-Bois,Marseile,Oui
2,02170,Barzy-en-Thiérache,Marseile,Oui
2,02850,Barzy-sur-Marne,Marseile,Oui
2,02380,Bassoles-Aulers,Marseile,Oui
2,02330,Vallées en Champagne,Marseile,Oui
2,02220,Bazoches-et-Saint-Thibaut,Marseile,Oui
2,02500,Beaumé,Marseile,Oui
2,02300,Beaumont-en-Beine,Marseile,Oui
2,02110,Beaurevoir,Marseile,Oui
2,02160,Beaurieux,Marseile,Oui
2,02800,Beautor,Marseile,Oui
2,02590,Beauvois-en-Vermandois,Marseile,Oui
2,02110,Becquigny,Marseile,Oui
2,02400,Belleau,Marseile,Oui
2,02420,Bellenglise,Marseile,Oui
2,02200,Belleu,Marseile,Oui
2,02420,Bellicourt,Marseile,Oui
2,02440,Benay,Marseile,Oui
2,02450,Bergues-sur-Sambre,Marseile,Oui
2,02250,Berlancourt,Marseile,Oui
2,02340,Berlise,Marseile,Oui
2,02120,Bernot,Marseile,Oui
2,02290,Berny-Rivière,Marseile,Oui
2,02820,Berrieux,Marseile,Oui
2,02190,Berry-au-Bac,Marseile,Oui
2,02800,Bertaucourt-Epourdon,Marseile,Oui
2,02240,Berthenicourt,Marseile,Oui
2,02190,Bertricourt,Marseile,Oui
2,02300,Besmé,Marseile,Oui
2,02500,Besmont,Marseile,Oui
2,02870,Besny-et-Loizy,Marseile,Oui
2,02300,Béthancourt-en-Vaux,Marseile,Oui
2,02210,Beugneux,Marseile,Oui
2,02130,Beuvardes,Marseile,Oui
2,02310,Bézu-le-Guéry,Marseile,Oui
2,02400,Bézu-Saint-Germain,Marseile,Oui
2,02300,Bichancourt,Marseile,Oui
2,02290,Bieuxy,Marseile,Oui
2,02860,Bièvres,Marseile,Oui
2,02200,Billy-sur-Aisne,Marseile,Oui
2,02210,Billy-sur-Ourcq,Marseile,Oui
2,02160,Blanzy-lès-Fismes,Marseile,Oui
2,02300,Blérancourt,Marseile,Oui
2,02400,Blesmes,Marseile,Oui
2,02110,Bohain-en-Vermandois,Marseile,Oui
2,02270,Bois-lès-Pargny,Marseile,Oui
2,02350,Boncourt,Marseile,Oui
2,02400,Bonneil,Marseile,Oui
2,02400,Bonnesvalyn,Marseile,Oui
2,02420,Bony,Marseile,Oui
2,02250,Bosmont-sur-Serre,Marseile,Oui
2,02860,Bouconville-Vauclair,Marseile,Oui
2,02450,Boué,Marseile,Oui
2,02160,Bouffignereux,Marseile,Oui
2,02400,Bouresches,Marseile,Oui
2,02160,Bourg-et-Comin,Marseile,Oui
2,02300,Bourguignon-sous-Coucy,Marseile,Oui
2,02000,Bourguignon-sous-Montbavin,Marseile,Oui
2,02140,La Bouteille,Marseile,Oui
2,02220,Braine,Marseile,Oui
2,02320,Brancourt-en-Laonnois,Marseile,Oui
2,02110,Brancourt-le-Grand,Marseile,Oui
2,02400,Brasles,Marseile,Oui
